Nodes,processor,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company,brand,make,model,moniker,version
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,246,51.3,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,446,110,2012,intel,xeon,, e5-4650,l,
16,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz),2300,32,256,512,384,"4,026",713,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2470 2.3GHz,2300,2,16,32,24,205,51.2,2012,intel,xeon,, e5-2470,,
32,Intel Xeon E5-2470 (2.3 GHz),2300,64,512,1024,768,"6,854","1,773",2012,intel,xeon,, e5-2470,,
1,AMD Opteron 6278,2400,4,64,64,64,593,118,2012,amd,opteron,, 6278,,
8,Intel Xeon E5-4650L (2.60 GHz),2600,32,512,1024,384,"3,997",832,2012,intel,xeon,, e5-4650,l,
1,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300,2,16,32,24,264,47.9,2012,intel,xeon,, e5-2470,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,230,53.8,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2470 (Intel Turbo Boost Technology up to 3.10 GHz ),2300,2,16,32,24,263,53.3,2012,intel,xeon,, e5-2470,,
16,Intel Xeon E5-2470 (2.30 GHz),2300,32,384,512,256,"4,078",732,2012,intel,xeon,, e5-2470,,
8,AMD Opteron 6380 (2.50 GHz),2500,32,512,512,512,"4,562",976,2012,amd,opteron,, 6380,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,231,52.3,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,242,51,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,248,54.9,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-4650L 2.60 GHz,2600,4,32,64,48,457,108,2012,intel,xeon,, e5-4650,l,
4,AMD Opteron 4376HE,2600,8,64,64,64,573,106,2013,amd,opteron,, 4376,h,
2,AMD Opteron 6380 (2.50GHz),2500,8,128,128,128,"1,105",196,2013,amd,opteron,, 6380,,
16,Intel Xeon E5-2670 2.60 GHz,2600,32,256,512,384,"4,057",833,2013,intel,xeon,, e5-2670,,
12,Intel Xeon E3-1265LV2,2500,12,48,96,96,672,194,2013,intel,xeon,, e3-1265,l,
1,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,272,46.9,2015,intel,xeon,, e5-2699,, v3
1,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,273,48.1,2015,intel,xeon,, e5-2699,, v3
1,Intel Xeon E5-2699 v3 2.30 GHz,2300,2,36,72,64,287,51.2,2015,intel,xeon,, e5-2699,, v3
4,Intel Xeon E5-2699 v3 2.30 GHz,2300,8,144,288,256,"1,229",210,2015,intel,xeon,, e5-2699,, v3
4,Intel Xeon E5-2699 v3 2.30 GHz,2300,8,144,288,256,"1,256",228,2015,intel,xeon,, e5-2699,, v3
1,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,269,44.9,2016,intel,xeon,, e5-2699,, v4
16,Intel Xeon E5-2699 v4 2.20 GHz,2200,32,704,1408,2048,"4,918",878,2016,intel,xeon,, e5-2699,, v4
1,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,279,46.7,2016,intel,xeon,, e5-2699,, v4
1,Intel Xeon E5-2699 v4 2.20 GHz,2200,2,44,88,128,272,44.6,2016,intel,xeon,, e5-2699,, v4
1,Intel Xeon E5-4669 v4 2.20 GHz,2200,4,88,176,256,562,86.4,2016,intel,xeon,, e5-4669,, v4
1,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,457,52.3,2017,intel,xeon,platinum, 8180,,
1,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,469,55,2017,intel,xeon,platinum, 8180,,
1,Intel Xeon Platinum 8180 2.50 GHz,2500,2,56,112,192,469,56,2017,intel,xeon,platinum, 8180,,
1,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,915,106,2017,intel,xeon,platinum, 8180,,
1,AMD EPYC 7601 2.20 GHz,2200,2,64,128,128,287,84.9,2018,amd,epyc,, 7601,,
1,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,939,89.8,2018,intel,xeon,platinum, 8180,,
1,Intel Xeon Platinum 8180 2.50 GHz,2500,4,112,224,384,923,85.6,2018,intel,xeon,platinum, 8180,,
1,"AMD EPYC 7601 2.20 GHz, Dell SKU [338-BNCG]",2200,2,64,128,128,268,77.5,2019,amd,epyc,, 7601,,
1,"Intel Xeon Platinum 8280, 2.70 GHz",2700,2,56,112,192,432,49.8,2019,intel,xeon,platinum, 8280,,
1,Intel Xeon E-2176G,3700,1,6,12,32,93.1,20,2019,intel,xeon,, e-2176,g,
1,AMD EPYC 7742 2.25 GHz,2250,1,64,128,128,246,99.5,HTML,amd,epyc,, 7742,,
1,AMD EPYC 7702 2.00 GHz,2000,2,128,256,128,404,81.6,2020,amd,epyc,, 7702,,
1,AMD EPYC 7702 2.00 GHz,2000,2,128,256,128,393,72.3,2020,amd,epyc,, 7702,,
1,AMD EPYC 7702P 2.00 GHz,2000,1,64,128,64,231,54.5,2020,amd,epyc,, 7702,p,
1,Intel Xeon X5570,2933,2,8,16,12,237,75.6,2009,intel,xeon,, x5570,,
1,Intel Xeon E5-2660 2.20 GHz,2200,2,16,32,24,258,56.1,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660 2.20 GHz,2200,2,16,32,24,240,50.3,2012,intel,xeon,, e5-2660,,
1,Intel Xeon X5670,2930,2,12,24,12,190,76.5,2011,intel,xeon,, x5670,,
1,Intel Xeon L3360,2833,1,4,4,8,94.7,46.2,2009,intel,xeon,, l3360,,
1,Intel Xeon X3470,2933,1,4,8,4,130,35,2010,intel,xeon,, x3470,,
1,Intel Xeon X3470,2933,1,4,8,4,112,24.3,2010,intel,xeon,, x3470,,
38,Intel Xeon L5530,2400,76,304,608,304,"6,303","1,842",2010,intel,xeon,, l5530,,
1,Intel Xeon X5670,2933,2,12,24,12,245,77.9,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,242,76.2,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,236,78.5,2010,intel,xeon,, x5670,,
1,Intel Xeon X3480,3067,1,4,8,4,113,24.8,2010,intel,xeon,, x3480,,
1,Intel Xeon X3480,3067,1,4,8,4,127,33.4,2010,intel,xeon,, x3480,,
1,Intel Xeon X5675,3066,2,12,24,12,236,74.8,2011,intel,xeon,, x5675,,
1,Intel Xeon E3-1260L,2400,1,4,8,8,53.6,16.8,2011,intel,xeon,, e3-1260,l,
