processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,240,52.6,2012.0,intel,1.64,7.5,3.29,15.0,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,240,52.3,2012.0,intel,1.63,7.5,3.27,15.0,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,245,54,2012.0,intel,1.69,7.66,3.38,15.31,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,258,59.8,2012.0,intel,1.87,8.06,3.74,16.13,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,245,55.2,2012.0,intel,1.73,7.66,3.45,15.31,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,246,55.1,2012.0,intel,1.72,7.69,3.44,15.38,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,32,257,59.7,2012.0,intel,1.87,8.03,3.73,16.06,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,32,243,54.7,2012.0,intel,1.71,7.59,3.42,15.19,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,48,240,52.3,2012.0,intel,1.63,7.5,3.27,15.0,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,48,239,51.6,2012.0,intel,1.61,7.47,3.23,14.94,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,16,239,54,2012.0,intel,1.69,7.47,3.38,14.94,2.0
Xeon E5-2660,,xeon,, e5-2660,,,4.0,Intel Xeon E5-2660,2200.0,8.0,64.0,128,64,"1,003",238,2012.0,intel,1.86,7.84,3.72,15.67,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,239,51.5,2012.0,intel,1.61,7.47,3.22,14.94,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,16,231,52.4,2012.0,intel,1.64,7.22,3.27,14.44,2.0
Xeon E5-2660,,xeon,, e5-2660,,,2.0,Intel Xeon E5-2660,2200.0,4.0,32.0,64,48,379,96.5,2012.0,intel,1.51,5.92,3.02,11.84,2.0
